Symbol,Name,Sector,Industry,Unlevered Data,Industry Cost of Capital,Industry Growth,Industry Reinvestment rate
BAX,Baxter International,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.715904778
BBY,Best Buy,Retail (Special Lines),Computer & Electronics Retail,0.973069218,0.078540155,0.120719677,0.222481052
BDX,Becton Dickinson,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.715904778
BEN,Franklin Resources,Investments & Asset Management,Asset Management & Custody Banks,0.39129393,0.052337685,0.046036863,0.524206097
BF.B,Brown–Forman,Beverage (Alcoholic),Distillers & Vintners,0.970263352,0.080501131,0.120622222,0.396749124
BG,Bunge Global,Farming/Agriculture,Agricultural Products & Services,0.769213335,0.07061154,0.213838095,0.59827152
BIIB,Biogen,Drugs (Biotechnology),Biotechnology,1.08909647,0.083386527,0.189508512,0.442198086
BK,BNY Mellon,Investments & Asset Management,Asset Management & Custody Banks,0.39129393,0.052337685,0.046036863,0.524206097
BKNG,Booking Holdings,Hotel/Gaming,"Hotels, Resorts & Cruise Lines",1.048189773,0.080151501,0.1024465,0.160164781
BKR,Baker Hughes,Oilfield Svcs/Equip.,Oil & Gas Equipment & Services,0.852901738,0.072739439,0.077372121,0.411734528
BLDR,Builders FirstSource,Building Materials,Building Products,1.209047187,0.090005823,0.064077647,0.679993268
BLK,BlackRock,Investments & Asset Management,Asset Management & Custody Banks,0.39129393,0.052337685,0.046036863,0.524206097
BMY,Bristol Myers Squibb,Drugs (Pharmaceutical),Pharmaceuticals,0.943997687,0.080456031,0.415376667,0.442198086
BR,Broadridge Financial Solutions,Information Services,Data Processing & Outsourced Services,0.772382491,0.070185232,0.04717,0.001496213
BRK.B,Berkshire Hathaway,Investments & Asset Management,Multi-Sector Holdings,0.39129393,0.052337685,0.046036863,0.524206097
BRO,Brown & Brown,Insurance (General),Insurance Brokers,0.894617816,0.076402666,0.077637273,0.020168608
BSX,Boston Scientific,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.715904778
BWA,BorgWarner,Auto Parts,NA,1.12110387,0.083289044,0.062846957,1.161358931
BX,Blackstone Inc.,Investments & Asset Management,Asset Management & Custody Banks,0.39129393,0.052337685,0.046036863,0.524206097
BXP,"BXP, Inc.",R.E.I.T.,Office REITs,0.660063542,0.06308888,0.083597195,-0.15371841
C,Citigroup,Bank (Money Center),Diversified Banks,0.644005118,0.05081182,0.072753846,19.57501942
CAG,Conagra Brands,Food Processing,Packaged Foods & Meats,0.495879272,0.059473284,0.072433478,0.592094421
CAH,Cardinal Health,Healthcare Support Services,Health Care Distributors,0.940306249,0.076102789,0.124218772,0.574513905
CARR,Carrier Global,Building Materials,Building Products,1.209047187,0.090005823,0.064077647,0.679993268
CAT,Caterpillar Inc.,Machinery,Construction Machinery & Heavy Transportation Equipment,0.937609554,0.079092309,0.047126,0.915912511
CB,Chubb Limited,Insurance (Prop/Cas.),Property & Casualty Insurance,0.675207617,0.067158648,0.061676591,0.190179062
CBOE,Cboe Global Markets,Financial Svcs. (Non-bank & Insurance),Financial Exchanges & Data,0.321978751,0.049871016,0.205013107,-0.773954395
CBRE,CBRE Group,Real Estate (Operations & Services),Real Estate Services,0.882846385,0.072965782,0.054392667,0.135576238
CCI,Crown Castle,R.E.I.T.,Telecom Tower REITs,0.660063542,0.06308888,0.083597195,-0.15371841
CCL,Carnival,Hotel/Gaming,"Hotels, Resorts & Cruise Lines",1.048189773,0.080151501,0.1024465,0.160164781
CDNS,Cadence Design Systems,Software (System & Application),Application Software,1.272458994,0.094923923,0.159033378,0.476301017
CDW,CDW,Electronics (Consumer & Office),Technology Distributors,1.302963609,0.089049334,-0.06321,0.871216099
CE,Celanese,Chemical (Specialty),NA,0.938135743,0.078101735,0.07331875,0.788618721
CEG,Constellation Energy,Utility (General),Electric Utilities,0.356795193,0.05094222,0.043405,0.784216274
CF,CF Industries,Chemical (Diversified),Fertilizers & Agricultural Chemicals,0.813460858,0.069280335,-0.00755,0.490168696
CFG,Citizens Financial Group,Banks (Regional),Regional Banks,0.333366607,0.046771373,0.092156242,1.957501942
CHD,Church & Dwight,Household Products,Household Products,0.772920134,0.072278278,0.022456341,0.155241937
CHRW,C.H. Robinson,Air Transport,Air Freight & Logistics,0.640188047,0.060621961,0.029028333,0.303603012
CHTR,Charter Communications,Cable TV,Cable & Satellite,0.73562954,0.067583977,0.162316667,0.180252825
CI,Cigna,Healthcare Support Services,Health Care Services,0.940306249,0.076102789,0.124218772,0.574513905
CINF,Cincinnati Financial,Insurance (Prop/Cas.),Property & Casualty Insurance,0.675207617,0.067158648,0.061676591,0.190179062
CL,Colgate-Palmolive,Household Products,Household Products,0.772920134,0.072278278,0.022456341,0.155241937
CLX,Clorox,Household Products,Household Products,0.772920134,0.072278278,0.022456341,0.155241937
CMCSA,Comcast,Cable TV,Cable & Satellite,0.73562954,0.067583977,0.162316667,0.180252825
CME,CME Group,Financial Svcs. (Non-bank & Insurance),Financial Exchanges & Data,0.321978751,0.049871016,0.205013107,-0.773954395
CMG,Chipotle Mexican Grill,Restaurant/Dining,Restaurants,1.024327695,0.082371442,0.06796,0.248382575
CMI,Cummins,Machinery,Construction Machinery & Heavy Transportation Equipment,0.937609554,0.079092309,0.047126,0.915912511
CMS,CMS Energy,Utility (General),Multi-Utilities,0.356795193,0.05094222,0.043405,0.784216274
CNC,Centene Corporation,Hospitals/Healthcare Facilities,Managed Health Care,0.559996107,0.061017936,0.181068947,0.407749816
CNP,CenterPoint Energy,Utility (General),Multi-Utilities,0.356795193,0.05094222,0.043405,0.784216274
COF,Capital One,Financial Svcs. (Non-bank & Insurance),Consumer Finance,0.321978751,0.049871016,0.205013107,-0.773954395
COO,Cooper Companies (The),Healthcare Products,Health Care Supplies,1.005418072,0.082315379,0.179484,0.673292183
COP,ConocoPhillips,Oil/Gas (Production and Exploration),Oil & Gas Exploration & Production,0.821420497,0.073373141,0.232800588,0.536803676
COR,Cencora,Healthcare Support Services,Health Care Distributors,0.940306249,0.076102789,0.124218772,0.574513905
COST,Costco,Retail (Grocery and Food),Consumer Staples Merchandise Retail,0.364761149,0.053133992,0.0659125,0.300084333
CPAY,Corpay,Financial Svcs. (Non-bank & Insurance),Transaction & Payment Processing Services,0.321978751,0.049871016,0.205013107,-0.773954395
CPB,Campbell Soup Company,Food Processing,Packaged Foods & Meats,0.495879272,0.059473284,0.072433478,0.592094421
CPRT,Copart,Business & Consumer Services,Diversified Support Services,0.929642657,0.078564957,0.06692427,0.304162192
CPT,Camden Property Trust,R.E.I.T.,Multi-Family Residential REITs,0.660063542,0.06308888,0.083597195,-0.15371841
CRL,Charles River Laboratories,Heathcare Information and Technology,Life Sciences Tools & Services,1.187533948,0.089506087,0.196667069,0.715904778
CRM,Salesforce,Software (System & Application),Application Software,1.272458994,0.094923923,0.159033378,0.476301017
CRWD,CrowdStrike,Software (System & Application),Systems Software,1.272458994,0.094923923,0.159033378,0.476301017
CSCO,Cisco,Telecom. Equipment,Communications Equipment,1.045647985,0.083343683,0.09616449,0.536242435
CSGP,CoStar Group,Real Estate (Operations & Services),Real Estate Services,0.882846385,0.072965782,0.054392667,0.135576238
CSX,CSX Corporation,Transportation (Railroads),Rail Transportation,0.855997806,0.074640136,0.0249,0.599980747
CTAS,Cintas,Business & Consumer Services,Diversified Support Services,0.929642657,0.078564957,0.06692427,0.304162192
CTLT,Catalent,Drugs (Pharmaceutical),NA,0.943997687,0.080456031,0.415376667,0.442198086
CTRA,Coterra,Oil/Gas (Production and Exploration),Oil & Gas Exploration & Production,0.821420497,0.073373141,0.232800588,0.536803676
CTSH,Cognizant,Computer Services,IT Consulting & Other Services,0.858697507,0.074175635,0.109264737,0.276635201
CTVA,Corteva,Chemical (Diversified),Fertilizers & Agricultural Chemicals,0.813460858,0.069280335,-0.00755,0.490168696
CVS,CVS Health,Healthcare Support Services,Health Care Services,0.940306249,0.076102789,0.124218772,0.574513905
CVX,Chevron Corporation,Oil/Gas (Integrated),Integrated Oil & Gas,0.644045014,0.066148338,0.0176,0.147097299
CZR,Caesars Entertainment,Hotel/Gaming,Casinos & Gaming,1.048189773,0.080151501,0.1024465,0.160164781
D,Dominion Energy,Utility (General),Multi-Utilities,0.356795193,0.05094222,0.043405,0.784216274
DAL,Delta Air Lines,Air Transport,Passenger Airlines,0.640188047,0.060621961,0.029028333,0.303603012
DAY,Dayforce,Business & Consumer Services,Human Resource & Employment Services,0.929642657,0.078564957,0.06692427,0.304162192
DD,DuPont,Chemical (Specialty),Specialty Chemicals,0.938135743,0.078101735,0.07331875,0.788618721
DE,Deere & Company,Farming/Agriculture,Agricultural & Farm Machinery,0.769213335,0.07061154,0.213838095,0.59827152
DECK,Deckers Brands,Shoe,Footwear,1.273095539,0.093400048,0.1149125,-0.160768929
DELL,Dell Technologies,Computers/Peripherals,"Technology Hardware, Storage & Peripherals",1.100354381,0.087884328,0.023118148,0.389433657
DFS,Discover Financial,Financial Svcs. (Non-bank & Insurance),Consumer Finance,0.321978751,0.049871016,0.205013107,-0.773954395
DG,Dollar General,Retail (Grocery and Food),Consumer Staples Merchandise Retail,0.364761149,0.053133992,0.0659125,0.300084333
DGX,Quest Diagnostics,Healthcare Support Services,Health Care Services,0.940306249,0.076102789,0.124218772,0.574513905
DHI,D. R. Horton,Homebuilding,Homebuilding,1.353591593,0.092820337,0.110407826,0.202870919
DHR,Danaher Corporation,Heathcare Information and Technology,Life Sciences Tools & Services,1.187533948,0.089506087,0.196667069,0.715904778
DIS,Walt Disney Company (The),Entertainment,Movies & Entertainment,0.865719193,0.074634883,0.154691379,-0.341217146
DLR,Digital Realty,R.E.I.T.,Data Center REITs,0.660063542,0.06308888,0.083597195,-0.15371841
DLTR,Dollar Tree,Retail (Grocery and Food),Consumer Staples Merchandise Retail,0.364761149,0.053133992,0.0659125,0.300084333
DOC,Healthpeak Properties,R.E.I.T.,Health Care REITs,0.660063542,0.06308888,0.083597195,-0.15371841
DOV,Dover Corporation,Machinery,Industrial Machinery & Supplies & Components,0.937609554,0.079092309,0.047126,0.915912511
DOW,Dow Inc.,Chemical (Basic),Commodity Chemicals,0.874690785,0.07321012,0.113161,1.94590328
DPZ,Domino's,Restaurant/Dining,Restaurants,1.024327695,0.082371442,0.06796,0.248382575
DRI,Darden Restaurants,Restaurant/Dining,Restaurants,1.024327695,0.082371442,0.06796,0.248382575
DTE,DTE Energy,Utility (General),Multi-Utilities,0.356795193,0.05094222,0.043405,0.784216274
DUK,Duke Energy,Utility (General),Electric Utilities,0.356795193,0.05094222,0.043405,0.784216274
DVA,DaVita,Healthcare Support Services,Health Care Services,0.940306249,0.076102789,0.124218772,0.574513905
DVN,Devon Energy,Oil/Gas (Production and Exploration),Oil & Gas Exploration & Production,0.821420497,0.073373141,0.232800588,0.536803676
DXCM,Dexcom,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.715904778
EA,Electronic Arts,Entertainment,Interactive Home Entertainment,0.865719193,0.074634883,0.154691379,-0.341217146
EBAY,eBay,Retail (General),Broadline Retail,1.171062909,0.089282001,0.180630526,0.725882717
ECL,Ecolab,Chemical (Specialty),Specialty Chemicals,0.938135743,0.078101735,0.07331875,0.788618721
ED,Consolidated Edison,Utility (General),Multi-Utilities,0.356795193,0.05094222,0.043405,0.784216274
EFX,Equifax,Information Services,Research & Consulting Services,0.772382491,0.070185232,0.04717,0.001496213
EG,Everest Group,Reinsurance,Reinsurance,0.609850918,0.058445695,0.0695,0.313935499
EIX,Edison International,Utility (General),Electric Utilities,0.356795193,0.05094222,0.043405,0.784216274
EL,Estée Lauder Companies (The),Household Products,Personal Care Products,0.772920134,0.072278278,0.022456341,0.155241937
ELV,Elevance Health,Hospitals/Healthcare Facilities,Managed Health Care,0.559996107,0.061017936,0.181068947,0.407749816
EMN,Eastman Chemical Company,Chemical (Specialty),Specialty Chemicals,0.938135743,0.078101735,0.07331875,0.788618721
EMR,Emerson Electric,Electrical Equipment,Electrical Components & Equipment,1.145843472,0.086066369,0.149078298,1.622376012
ENPH,Enphase Energy,Semiconductor Equip,Semiconductor Materials & Equipment,1.507765079,0.103967314,0.0992575,0.605672117
EOG,EOG Resources,Oil/Gas (Production and Exploration),Oil & Gas Exploration & Production,0.821420497,0.073373141,0.232800588,0.536803676
EPAM,EPAM Systems,Computer Services,IT Consulting & Other Services,0.858697507,0.074175635,0.109264737,0.276635201
EQIX,Equinix,R.E.I.T.,Data Center REITs,0.660063542,0.06308888,0.083597195,-0.15371841
EQR,Equity Residential,R.E.I.T.,Multi-Family Residential REITs,0.660063542,0.06308888,0.083597195,-0.15371841
EQT,EQT Corporation,Oil/Gas (Production and Exploration),Oil & Gas Exploration & Production,0.821420497,0.073373141,0.232800588,0.536803676
ERIE,Erie Indemnity,Insurance (General),Insurance Brokers,0.894617816,0.076402666,0.077637273,0.020168608
ES,Eversource Energy,Utility (General),Electric Utilities,0.356795193,0.05094222,0.043405,0.784216274
ESS,Essex Property Trust,R.E.I.T.,Multi-Family Residential REITs,0.660063542,0.06308888,0.083597195,-0.15371841
ETN,Eaton Corporation,Electrical Equipment,Electrical Components & Equipment,1.145843472,0.086066369,0.149078298,1.622376012
ETR,Entergy,Utility (General),Electric Utilities,0.356795193,0.05094222,0.043405,0.784216274
EVRG,Evergy,Utility (General),Electric Utilities,0.356795193,0.05094222,0.043405,0.784216274
EW,Edwards Lifesciences,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.715904778
EXC,Exelon,Utility (General),Electric Utilities,0.356795193,0.05094222,0.043405,0.784216274
EXPD,Expeditors International,Air Transport,Air Freight & Logistics,0.640188047,0.060621961,0.029028333,0.303603012
EXPE,Expedia Group,Hotel/Gaming,"Hotels, Resorts & Cruise Lines",1.048189773,0.080151501,0.1024465,0.160164781
EXR,Extra Space Storage,R.E.I.T.,Self-Storage REITs,0.660063542,0.06308888,0.083597195,-0.15371841
F,Ford Motor Company,Auto & Truck,Automobile Manufacturers,1.304030918,0.092567584,0.219421111,0.703821334
FANG,Diamondback Energy,Oil/Gas (Production and Exploration),Oil & Gas Exploration & Production,0.821420497,0.073373141,0.232800588,0.536803676
FAST,Fastenal,Retail (Distributors),Trading Companies & Distributors,0.909325554,0.077098414,0.058054595,0.750757364
FCX,Freeport-McMoRan,Metals & Mining,Copper,0.912124355,0.077209909,-0.013133333,0.848618106
FDS,FactSet,Financial Svcs. (Non-bank & Insurance),Financial Exchanges & Data,0.321978751,0.049871016,0.205013107,-0.773954395
FDX,FedEx,Air Transport,Air Freight & Logistics,0.640188047,0.060621961,0.029028333,0.303603012
FE,FirstEnergy,Utility (General),Electric Utilities,0.356795193,0.05094222,0.043405,0.784216274
FFIV,"F5, Inc.",Telecom. Equipment,Communications Equipment,1.045647985,0.083343683,0.09616449,0.536242435
